"wvision_settings", "Einstellungen"

"wvision_settings_authentication", "Authentifizierung"
"wvision_settings_authentication_user_folder", "Benutzer-Ordner"
"wvision_settings_authentication_confirmation_mail", "Bestätigungs-E-Mail"
"wvision_settings_authentication_publish_directly", "Objekte direkt veröffentlichen"
"wvision_settings_authentication_delete_after_unregister", "Objekte löschen"

"wvision_settings_newsletter", "Newsletter"
"wvision_settings_newsletter_user_folder", "Benutzer-Ordner"
"wvision_settings_newsletter_confirmation_mail", "Bestätigungs-E-Mail"

"wvision_settings_notification", "Benachrichtigungen"
"wvision_settings_notification_close_button", "Schliessen-Knopf"
"wvision_settings_notification_add_behavior_on_click", "Aktion beim Klicken hinzufügen"
"wvision_settings_notification_debug", "DEBUG"
"wvision_settings_notification_progressbar", "Fortschrittsbalken"
"wvision_settings_notification_prevent_duplicates", "Duplikate verhindern"
"wvision_settings_notification_button_force_closing", "Knopf um Schliessen zu erzwingen"
"wvision_settings_notification_newest_on_top", "Neueste zuoberst"
"wvision_settings_notification_position", "Platzierung"
"wvision_settings_notification_position_top_left", "Oben links"
"wvision_settings_notification_position_top_right", "Oben rechts"
"wvision_settings_notification_position_top_center", "Oben mittig"
"wvision_settings_notification_position_top_full_width", "Oben volle Breite"
"wvision_settings_notification_position_bottom_left", "Unten links"
"wvision_settings_notification_position_bottom_right", "Unten rechts"
"wvision_settings_notification_position_bottom_center", "Unten mittig"
"wvision_settings_notification_position_bottom_full_width", "Unten volle Breite"
"wvision_settings_notification_show_easing", "Einblenden «easing»"
"wvision_settings_notification_hide_easing", "Ausblenden «easing»"
"wvision_settings_notification_show_method", "Einblend-Methode"
"wvision_settings_notification_hide_method", "Ausblend-Methode"
"wvision_settings_notification_show_duration", "Einblend-Dauer (ms)"
"wvision_settings_notification_hide_duration", "Ausblend-Dauer (ms)"
"wvision_settings_notification_timeout", "Anzeigedauer ohne Interaktion (ms)"
"wvision_settings_notification_extended_timeout", "Anzeigedauer nach Hover (ms)"

"wvision_console", "Kommandozeile"
"wvision_about", "Über w-vision"
